,Stigma,Cluster,Visibility,Persistent Course,Disrupt,Unappealing Aesthetics,Controllable Origin,Peril,visibility human,course human,disrupt human,aesthetics human,origin human,peril human,percent biased,percent biased post guardian
21,Gang Member Currently,2,4.11,2.79,4.25,3.25,2.12,4,1.25,3.96,3.31,3.65,5.56,5.08,0.738738739,0.279279279
22,Genital Herpes,2,4.36,3.88,4.08,3.58,2.46,4.19,0.22,4.11,1.07,3.8,4.22,3.26,0.387387387,0.198198198
23,HIV Avg. Symptoms,2,3.33,3.69,2.35,1.92,2.46,2.85,0.69,5.05,1.78,4.01,4.13,3.88,0.513513514,0.234234234
24,Homeless,2,3.54,4.29,3.02,3.27,2.4,4.23,2.04,3.2,2.88,3.34,3.9,2.83,0.243243243,0.153153153
25,Injection Drug Use,2,5,3.71,4.46,4,2.85,4.14,1.57,3.72,3.06,3.94,5.34,3.69,0.657657658,0.333333333
26,On Parole Currently,2,4.19,2.46,2.04,1.38,2.4,3.19,0.48,3.04,2.41,2.95,5.02,3.8,0.576576577,0.306306306
27,Sex Offender,2,4.79,4.78,4.86,4.94,0.98,4.67,0.37,5.29,3.58,5.31,5.5,4.7,0.855855856,0.54954955
28,Asian American,3,1.71,4.81,2.65,2.52,2.77,3.58,4.56,5.46,0.78,0.38,0.15,0.25,0,0
29,Black/African American,3,2.08,5.94,2.5,0,3.58,3.92,5.24,5.66,1.62,0.93,0.21,2.06,0.018018018,0.018018018
30,Latina/Latino,3,1.83,4.64,3.29,2.08,2.31,4.06,3.79,5.63,1.21,0.58,0.18,1.3,0,0
31,Middle Eastern,3,3.73,2.25,3.48,3.71,2.77,3.77,4.2,5.59,1.8,1.09,0.19,2.11,0.027027027,0.018018018
32,Multiracial,3,1.98,3.35,2.52,2.23,2.77,2.5,3.08,5.55,1.01,0.57,0.18,0.79,0,0
33,Native American,3,2.27,5.86,3,2.02,2.46,2.71,3.75,5.51,1.12,0.49,0.18,0.67,0.009009009,0.009009009
34,Old Age,3,3.06,5.5,3.12,3.19,3.46,3.27,4.75,5.77,1.74,2.09,0.28,0.51,0.108108108,0.054054054
35,South Asian,3,2,3.15,2.46,2.42,2.62,2.96,4.73,5.53,1.09,0.5,0.17,0.64,0,0
36,Asexual,4,2.62,3.81,2.33,2.25,2.12,3.04,0.44,4.36,0.81,0.88,2.34,0.45,0.018018018,0.018018018
37,Atheist,4,2.31,4.69,2.42,2.46,1.9,2.5,0.16,4.58,0.88,1.23,5.48,0.83,0.063063063,0.063063063
38,Bipolar Disorder Remitted,4,1.9,3.62,2.44,2.25,2.1,3.08,0.6,3.51,1.45,1.19,1.6,1.75,0.207207207,0.135135135
39,Breast Cancer Current Avg. Symptoms,4,3.79,3.27,2.15,1.9,2.08,1.71,1.06,3.05,1.08,0.98,0.28,0.69,0.18018018,0.135135135
40,Breast Cancer Remitted,4,2.54,3.71,3.1,1.96,2.9,2.65,0.29,2.72,0.4,0.49,0.35,0.48,0.117117117,0.108108108
41,Chest Scars,4,2.33,2.94,2.02,2.25,2.94,2.58,0.37,4.57,0.48,1.84,1.65,0.39,0.216216216,0.126126126
42,Colorectal Cancer Current Avg. Symptoms,4,3.58,4.44,2.06,2.56,2.38,2.46,1.04,3.26,1.19,1.23,0.38,0.71,0.225225225,0.126126126
43,Colorectal Cancer Remitted,4,3.54,4.25,2.21,1.46,3.02,2.71,0.29,2.77,0.47,0.67,0.39,0.51,0.171171171,0.099099099
44,Depression Remitted,4,2.23,2.5,2.04,1.65,2.69,2.4,0.39,2.77,1.06,0.82,2.27,1.06,0.234234234,0.162162162
45,Diabetes Type 2,4,2,3.94,2.96,2,2.52,2.75,0.56,4.43,0.7,0.77,2.77,0.66,0.117117117,0.09009009
46,Divorced Previously,4,2.31,3.58,1.96,1.46,2.35,2.44,0.19,4.33,0.37,0.35,4.28,0.21,0.099099099,0.072072072
47,Documented Immigrant,4,1.92,4.27,2.79,2.21,2.77,3.33,0.46,4.62,0.7,0.72,4.98,0.63,0.009009009,0.009009009
48,Fundamentalist Christian,4,2.71,4.86,3.54,3,2.98,3.46,0.48,4.91,0.95,0.86,5.08,0.62,0.18018018,0.144144144
49,Had An Abortion Previously,4,4.52,4.08,2.79,1.88,2.33,3.54,0.11,5,0.65,1.34,5.26,0.31,0.225225225,0.135135135
50,Heart Attack Recent Avg. Impairment,4,3.79,2.56,2.42,1.6,1.96,3,1.33,3.41,1.49,0.83,1.61,0.73,0.297297297,0.153153153
51,Infertile,4,2.25,2.69,2.56,2.6,2.52,2.35,0.16,4.37,0.4,0.27,0.69,0.2,0.261261261,0.153153153
52,Intersex,4,2.73,4.71,3.08,2.69,2.71,3.02,0.81,4.92,1.64,2.5,1.41,0.7,0.036036036,0.036036036
53,Jewish,4,2.31,5.31,2.65,2.25,2.56,3.92,0.77,5.05,0.7,2.33,4.22,0.49,0.018018018,0.018018018
54,Lesbian/Gay/Bisexual/Non-Heterosexual,4,2.23,5.08,2.94,2.15,3.1,3.44,0.65,5.12,1.39,1.73,2.41,1.19,0,0
55,Less Than A High School Education,4,1.94,2.54,2.12,1.54,2.08,2.27,1.21,3.33,1.36,1.31,4.22,0.61,0.324324324,0.081081081
56,Limb Scars,4,3.08,3.35,2.48,2.62,2.38,2.79,0.87,4.53,0.6,1.77,1.7,0.33,0.144144144,0.072072072
57,Lung Cancer Current Avg. Symptoms,4,4.23,3.48,2.52,1.56,2.17,1.1,1.61,3.86,1.47,1.26,1.98,0.81,0.261261261,0.126126126
58,Lung Cancer Remitted,4,2.83,3.62,2.67,2.1,2.65,2.52,0.48,3.15,0.62,0.68,1.66,0.58,0.279279279,0.171171171
59,Movement/Gait Impairment Remitted Avg. Sev.,4,3.04,2.46,3.17,2.38,2.58,2.17,2.31,2.86,1.22,0.73,0.71,0.4,0.135135135,0.099099099
60,Prostate Cancer Current Avg. Symptoms,4,3.54,3.35,2.65,2.21,2.98,2.38,0.89,3.14,1.1,0.95,0.32,0.68,0.261261261,0.162162162
61,Prostate Cancer Remitted,4,3.27,3.42,2.46,2.5,2.31,2.9,0.23,2.61,0.41,0.51,0.36,0.47,0.162162162,0.099099099
62,Psoriasis Remitted Avg. Severity,4,2.42,3,2.48,2.33,2.46,2.79,1.67,2.43,0.77,1.04,0.75,1.06,0.243243243,0.189189189
63,Teen Parent Currently,4,2.52,2.67,2.96,2.46,2.19,3.69,1.15,4.89,1.21,1.25,4.77,0.38,0.198198198,0.135135135
64,Teen Parent Previously,4,2.25,2.42,2.75,2.65,2.52,2.75,0.36,4.95,0.78,0.96,4.65,0.34,0.108108108,0.054054054
65,Unemployed,4,2.94,2.65,2.44,2.38,2.56,2.52,0.7,2.03,1.28,1.33,3.72,0.72,0.252252252,0.072072072
66,Voluntarily Childless,4,2.17,2.85,2.29,1.31,2.83,1.33,0.41,3.54,0.46,0.43,5.33,0.15,0.207207207,0.162162162
67,Was Raped Previously,4,4.61,4.39,4.03,1.85,0.56,4.75,0.17,4.95,1.03,0.98,1.32,0.49,0.414414414,0.279279279
68,Working Class Or Poor,4,1.69,3.71,2.38,2.17,2.71,2.65,1.48,3.45,1.16,1.23,3.29,0.93,0.099099099,0.063063063
69,Working In A Manual Industry,4,2,3.04,2.23,1.88,2.85,2.67,1.14,3.3,0.81,0.82,3.57,0.58,0.117117117,0.072072072
70,Working In A Service Industry,4,2.17,2.65,2.25,2,2.77,3.5,0.81,3.06,0.7,0.68,3.61,0.41,0.081081081,0.063063063
71,Alcohol Dependency Remitted,5,2.38,3.54,2.54,1.94,2.71,3.21,0.51,3.08,1.19,1.27,4.54,1.68,0.477477477,0.342342342
72,Depression Symptomatic,5,2.81,2.04,3.27,3.04,2.67,3.35,1.88,3.24,3.11,1.57,2.36,1.75,0.396396396,0.252252252
73,Drug Dependency Remitted,5,4.38,4.56,2.69,1.88,2.33,3.23,0.52,3.21,1.33,1.72,4.62,2.15,0.495495495,0.288288288
74,Fat/Overweight/Obese Current Avg. Severity,5,2.08,3.04,2.77,2.58,2.33,3.1,5.4,3.82,2.07,3.66,4.91,0.95,0.207207207,0.108108108
75,Fat/Overweight/Obese Remitted Avg. Severity,5,2.42,2.31,2.48,2.9,3.23,2.88,2.43,2.82,1,1.43,4.59,0.63,0.216216216,0.126126126
76,Fecal Incontinence,5,4.54,3.12,2.94,3.85,2.02,3.27,1.39,3.58,2.47,3.76,0.65,0.8,0.414414414,0.243243243
77,Having Sex For Money,5,4.94,4.94,5.56,4.33,3.38,4.75,0.37,3.13,2.14,3.46,5.31,1.71,0.774774775,0.477477477
78,Illiteracy,5,3.46,2.83,2.65,2.52,2,2.5,1.83,3.15,2.23,1.66,4.01,0.69,0.378378378,0.144144144
79,Living In A Trailer Park,5,2.08,2.35,2.27,2.15,2.56,2.15,0.85,3.08,1.18,1.94,3.98,1.21,0.225225225,0.108108108
80,Living In Public Housing,5,2.46,2.38,2.31,2.25,2.46,2.98,0.91,3.18,1.24,1.82,3.91,1.39,0.117117117,0.081081081
81,Marijuana Use Recreationally,5,4.39,4.61,3.58,2.9,3.69,3.77,0.63,2.99,1.45,1.43,5.51,1.68,0.441441441,0.333333333
82,Multiple Body Piercings,5,2.06,2.02,3.25,2.75,2.35,2.42,1.72,3.33,1.54,2.43,5.75,1.15,0.18018018,0.144144144
83,Multiple Facial Piercings,5,3.21,2.83,3.31,2.71,2.19,2.88,4.4,3.39,2.03,2.74,5.56,0.97,0.171171171,0.117117117
84,Multiple Tattoos,5,1.94,2.69,2.92,2.85,2.15,3.15,2.01,4.61,1.44,2.08,5.75,1.21,0.171171171,0.117117117
85,Muslim,5,2.08,3.23,2.9,3.35,2.65,4.14,1.09,5.14,1.56,2.01,4.49,2.22,0.018018018,0.018018018
86,Polyamorous,5,2,2.96,2.85,2.77,3.02,2.58,0.43,3.6,1.64,2.02,5.65,1.41,0.171171171,0.126126126
87,Psoriasis Current Avg. Severity,5,2.42,3.83,2.31,2.17,2.17,2.54,2.7,3.36,1.39,2.46,0.84,1.64,0.108108108,0.099099099
88,Schizophrenia Remitted,5,3.56,4.02,2.85,1.96,2.48,3.54,1.1,4.05,2.05,1.84,1.28,2.51,0.333333333,0.216216216
89,Smoking Cigarettes Daily,5,2.81,3.44,3.62,3.83,3.02,4,2.44,3.41,1.49,2.77,5.32,2.51,0.666666667,0.414414414
90,Transgender,5,3.17,5.25,3.54,3.67,2.79,3.33,1.89,5.06,2.17,2.87,3.28,1.23,0,0
91,Undocumented Immigrant,5,4.47,4.21,3.75,2.6,2.54,3.81,0.71,3.78,1.98,2.38,4.8,2.27,0.207207207,0.144144144
92,Urinary Incontinence,5,2.38,3.17,2.79,2.42,2.23,2.88,0.89,3.66,1.96,2.97,0.73,0.66,0.234234234,0.135135135
